respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,age_group,education,income_poverty,sex
759,0,1,0,0,1,4,55 - 64 Years,College Graduate,Above Poverty,Female
760,2,0,0,1,5,2,45 - 54 Years,College Graduate,Below Poverty,Male
761,3,0,0,1,2,2,35 - 44 Years,<12 Years,Below Poverty,Female
762,1,0,0,0,2,3,55 - 64 Years,<12 Years,Above Poverty,Female
763,0,0,1,0,4,4,18 - 34 Years,12 Years,Middle,Female
764,1,0,0,0,5,2,35 - 44 Years,<12 Years,Middle,Female
765,0,0,0,1,4,2,65+ Years,<12 Years,Below Poverty,Female
766,2,0,1,0,4,4,35 - 44 Years,12 Years,Above Poverty,Male
767,0,2,0,0,2,5,55 - 64 Years,<12 Years,Middle,Male
768,3,1,0,1,4,4,35 - 44 Years,<12 Years,Above Poverty,Male
769,3,0,1,1,2,3,18 - 34 Years,Some College,Middle,Female
770,0,2,0,1,1,5,18 - 34 Years,College Graduate,Above Poverty,Male
771,0,2,0,0,5,1,65+ Years,12 Years,Below Poverty,Female
772,0,2,0,1,4,4,45 - 54 Years,Some College,Above Poverty,Female
773,0,1,1,1,2,3,55 - 64 Years,College Graduate,Middle,Male
774,3,0,0,0,3,5,55 - 64 Years,College Graduate,Below Poverty,Female
775,1,2,0,1,4,4,45 - 54 Years,College Graduate,Above Poverty,Male
776,0,1,1,0,1,2,18 - 34 Years,Some College,Middle,Female
777,0,1,0,0,1,4,18 - 34 Years,Some College,Below Poverty,Female
778,3,1,1,1,3,1,35 - 44 Years,College Graduate,Above Poverty,Male
779,3,2,1,1,2,4,65+ Years,<12 Years,Middle,Female
780,2,0,0,1,4,5,65+ Years,<12 Years,Above Poverty,Male
781,0,2,1,1,2,5,65+ Years,Some College,Above Poverty,Female
782,2,2,1,1,1,4,35 - 44 Years,Some College,Below Poverty,Male
783,3,0,0,1,2,5,65+ Years,Some College,Below Poverty,Female
784,3,0,1,0,1,2,45 - 54 Years,College Graduate,Middle,Male
785,1,0,1,0,2,4,35 - 44 Years,<12 Years,Below Poverty,Male
786,0,1,0,1,3,2,45 - 54 Years,Some College,Middle,Female
787,2,0,0,0,5,2,35 - 44 Years,Some College,Above Poverty,Male
788,3,2,0,1,3,3,65+ Years,12 Years,Above Poverty,Female
789,3,0,1,0,3,4,45 - 54 Years,College Graduate,Middle,Female
790,2,2,0,0,5,5,45 - 54 Years,12 Years,Above Poverty,Male
791,1,1,1,0,5,2,45 - 54 Years,<12 Years,Below Poverty,Male
792,3,2,1,1,4,3,35 - 44 Years,12 Years,Above Poverty,Male
793,0,2,1,0,4,4,55 - 64 Years,12 Years,Below Poverty,Male
794,3,0,1,1,3,4,65+ Years,12 Years,Middle,Male
795,0,0,1,0,3,1,45 - 54 Years,College Graduate,Middle,Female
796,2,2,1,0,1,1,55 - 64 Years,<12 Years,Above Poverty,Male
797,0,0,1,0,1,2,65+ Years,12 Years,Above Poverty,Female
798,2,1,0,0,4,1,65+ Years,College Graduate,Below Poverty,Male
799,0,1,0,0,4,2,45 - 54 Years,<12 Years,Below Poverty,Male
800,2,0,1,1,1,5,45 - 54 Years,Some College,Above Poverty,Male
801,0,1,1,1,1,2,35 - 44 Years,12 Years,Above Poverty,Female
802,1,0,0,0,2,1,55 - 64 Years,<12 Years,Middle,Male
803,0,2,1,0,2,5,55 - 64 Years,12 Years,Middle,Female
804,0,2,0,0,1,1,45 - 54 Years,Some College,Middle,Female
805,1,1,0,0,2,2,65+ Years,<12 Years,Above Poverty,Female
806,3,0,0,1,5,3,45 - 54 Years,College Graduate,Above Poverty,Male
807,3,0,1,0,4,4,65+ Years,<12 Years,Above Poverty,Female
808,0,1,1,1,4,1,65+ Years,College Graduate,Middle,Male
809,1,2,0,0,1,2,45 - 54 Years,<12 Years,Above Poverty,Female
810,0,1,0,1,3,5,18 - 34 Years,College Graduate,Below Poverty,Male
811,2,2,0,0,1,1,55 - 64 Years,Some College,Above Poverty,Female
812,2,0,0,0,2,1,65+ Years,Some College,Above Poverty,Male
813,0,2,0,1,3,4,65+ Years,Some College,Above Poverty,Male
814,3,1,1,0,2,2,18 - 34 Years,<12 Years,Above Poverty,Male
815,3,0,0,0,5,3,35 - 44 Years,Some College,Above Poverty,Female
816,0,1,1,0,2,5,18 - 34 Years,12 Years,Below Poverty,Female
817,0,1,0,1,5,2,18 - 34 Years,Some College,Below Poverty,Male
818,2,2,1,0,5,5,65+ Years,College Graduate,Above Poverty,Female
819,3,1,1,0,2,1,55 - 64 Years,College Graduate,Middle,Female
820,0,2,1,1,2,4,18 - 34 Years,College Graduate,Above Poverty,Female
821,2,0,1,1,5,4,35 - 44 Years,<12 Years,Above Poverty,Female
822,3,2,1,1,3,3,45 - 54 Years,12 Years,Above Poverty,Female
823,1,0,1,0,5,4,18 - 34 Years,Some College,Middle,Female
824,2,2,0,0,4,1,18 - 34 Years,12 Years,Middle,Female
825,3,1,1,0,5,3,35 - 44 Years,12 Years,Middle,Male
826,3,2,0,1,3,2,55 - 64 Years,College Graduate,Below Poverty,Male
827,2,2,1,0,4,4,18 - 34 Years,College Graduate,Middle,Female
828,1,0,1,0,1,3,18 - 34 Years,College Graduate,Below Poverty,Male
829,2,1,0,1,1,1,55 - 64 Years,<12 Years,Below Poverty,Male
830,3,2,1,1,3,5,35 - 44 Years,12 Years,Middle,Male
831,0,1,0,1,5,5,18 - 34 Years,12 Years,Middle,Female
832,0,2,0,1,2,1,55 - 64 Years,<12 Years,Middle,Female
833,2,2,0,1,3,1,18 - 34 Years,<12 Years,Below Poverty,Female
834,3,1,0,0,4,5,45 - 54 Years,<12 Years,Above Poverty,Female
835,0,2,1,1,4,3,65+ Years,12 Years,Middle,Female
836,3,1,1,0,1,5,45 - 54 Years,12 Years,Middle,Male
837,2,2,0,0,4,1,18 - 34 Years,College Graduate,Middle,Female
838,0,0,1,1,3,4,35 - 44 Years,College Graduate,Below Poverty,Male
839,3,1,1,1,4,2,65+ Years,12 Years,Below Poverty,Female
840,0,2,0,1,3,4,45 - 54 Years,College Graduate,Above Poverty,Male
841,2,2,1,0,2,4,55 - 64 Years,<12 Years,Middle,Female
842,3,0,0,1,1,1,35 - 44 Years,Some College,Below Poverty,Female
843,0,1,0,1,4,5,45 - 54 Years,College Graduate,Above Poverty,Female
844,2,2,1,1,3,3,55 - 64 Years,12 Years,Middle,Female
845,0,0,1,1,5,4,18 - 34 Years,College Graduate,Below Poverty,Female
846,0,2,1,1,1,5,55 - 64 Years,College Graduate,Middle,Female
847,1,1,0,0,2,3,45 - 54 Years,College Graduate,Middle,Male
848,1,2,0,0,3,4,45 - 54 Years,Some College,Below Poverty,Female
849,2,2,1,0,2,3,18 - 34 Years,<12 Years,Below Poverty,Male
850,1,2,1,1,2,5,55 - 64 Years,12 Years,Below Poverty,Female
851,2,2,1,1,4,2,55 - 64 Years,Some College,Middle,Male
852,1,0,1,1,4,5,18 - 34 Years,12 Years,Middle,Male
853,0,0,0,0,3,1,55 - 64 Years,12 Years,Above Poverty,Male
854,2,1,1,1,5,3,18 - 34 Years,12 Years,Middle,Male
855,2,0,0,1,3,2,35 - 44 Years,Some College,Below Poverty,Male
856,0,0,0,1,5,3,45 - 54 Years,<12 Years,Middle,Male
857,2,1,1,0,2,3,35 - 44 Years,12 Years,Above Poverty,Female
858,2,0,1,1,1,4,65+ Years,<12 Years,Above Poverty,Male
859,1,0,1,0,3,1,65+ Years,<12 Years,Below Poverty,Female
860,2,1,0,1,3,3,65+ Years,College Graduate,Below Poverty,Female
861,3,1,1,0,5,5,18 - 34 Years,Some College,Above Poverty,Male
862,0,1,1,0,2,5,55 - 64 Years,Some College,Above Poverty,Male
863,1,2,0,0,2,4,35 - 44 Years,College Graduate,Above Poverty,Female
864,1,2,1,1,5,1,35 - 44 Years,College Graduate,Below Poverty,Male
865,3,1,0,1,2,1,35 - 44 Years,<12 Years,Above Poverty,Male
866,0,1,1,0,4,5,35 - 44 Years,12 Years,Above Poverty,Male
867,0,1,0,0,1,2,65+ Years,Some College,Below Poverty,Male
868,1,2,1,1,3,4,35 - 44 Years,12 Years,Middle,Male
869,2,2,1,1,1,4,55 - 64 Years,12 Years,Middle,Male
870,1,0,0,0,3,5,65+ Years,College Graduate,Above Poverty,Male
871,0,0,0,1,4,5,35 - 44 Years,12 Years,Middle,Female
872,3,1,1,1,2,2,18 - 34 Years,<12 Years,Middle,Male
873,1,2,0,1,5,2,45 - 54 Years,College Graduate,Middle,Female
874,0,2,0,1,4,1,45 - 54 Years,12 Years,Middle,Female
875,1,2,0,0,1,4,45 - 54 Years,College Graduate,Above Poverty,Female
876,2,1,0,1,5,4,65+ Years,<12 Years,Middle,Female
877,1,0,1,1,2,5,35 - 44 Years,<12 Years,Middle,Male
878,1,1,1,0,4,1,65+ Years,12 Years,Below Poverty,Female
879,0,0,0,0,5,4,55 - 64 Years,College Graduate,Above Poverty,Female
880,0,0,0,1,4,1,18 - 34 Years,12 Years,Below Poverty,Female
881,0,1,0,1,4,1,18 - 34 Years,12 Years,Below Poverty,Female
882,1,0,0,1,2,5,45 - 54 Years,College Graduate,Above Poverty,Female
883,2,0,1,1,3,1,45 - 54 Years,12 Years,Middle,Male
884,3,2,1,0,5,2,45 - 54 Years,<12 Years,Below Poverty,Male
885,3,0,0,0,2,2,35 - 44 Years,College Graduate,Above Poverty,Female
886,0,1,0,0,4,3,55 - 64 Years,College Graduate,Middle,Male
887,0,1,0,1,2,5,55 - 64 Years,College Graduate,Above Poverty,Male
888,1,0,1,1,3,3,55 - 64 Years,College Graduate,Below Poverty,Female
889,3,2,0,1,5,2,55 - 64 Years,12 Years,Middle,Female
890,0,2,1,1,3,3,45 - 54 Years,12 Years,Middle,Female
891,2,0,0,0,1,5,18 - 34 Years,<12 Years,Above Poverty,Male
892,2,0,1,0,5,5,45 - 54 Years,Some College,Middle,Female
893,0,1,0,1,3,1,55 - 64 Years,Some College,Below Poverty,Male
894,0,0,1,0,4,4,45 - 54 Years,<12 Years,Below Poverty,Male
895,3,2,0,1,5,1,55 - 64 Years,Some College,Below Poverty,Male
896,3,0,0,1,5,5,65+ Years,<12 Years,Above Poverty,Female
897,1,1,0,0,2,2,18 - 34 Years,12 Years,Middle,Male
898,3,1,1,1,4,2,65+ Years,College Graduate,Middle,Female
899,2,1,0,1,1,1,35 - 44 Years,College Graduate,Middle,Female
900,2,1,1,0,3,5,45 - 54 Years,12 Years,Below Poverty,Female
901,0,1,1,1,2,2,35 - 44 Years,College Graduate,Middle,Female
902,3,0,0,1,3,5,45 - 54 Years,College Graduate,Below Poverty,Female
903,1,0,0,0,1,2,65+ Years,Some College,Middle,Male
904,2,0,0,1,1,5,55 - 64 Years,12 Years,Below Poverty,Male
905,2,0,1,0,5,3,55 - 64 Years,Some College,Middle,Male
906,1,1,0,1,1,5,45 - 54 Years,Some College,Above Poverty,Male
907,1,2,1,0,3,5,55 - 64 Years,College Graduate,Above Poverty,Male
908,2,0,1,0,4,1,65+ Years,College Graduate,Below Poverty,Female
909,2,2,0,0,4,3,55 - 64 Years,12 Years,Below Poverty,Female
910,1,0,0,1,5,4,65+ Years,College Graduate,Middle,Male
911,2,0,0,0,3,1,35 - 44 Years,College Graduate,Middle,Male
912,0,2,0,0,3,4,65+ Years,12 Years,Above Poverty,Male
913,0,1,0,0,1,2,18 - 34 Years,College Graduate,Middle,Female
914,1,0,0,0,3,4,18 - 34 Years,Some College,Below Poverty,Female
915,3,0,1,0,2,5,18 - 34 Years,12 Years,Below Poverty,Female
916,1,0,1,1,1,4,45 - 54 Years,College Graduate,Below Poverty,Male
917,1,2,1,1,2,1,45 - 54 Years,<12 Years,Below Poverty,Male
918,3,1,0,1,5,1,45 - 54 Years,12 Years,Below Poverty,Male
919,3,2,1,1,4,4,65+ Years,12 Years,Above Poverty,Male
920,3,2,1,1,5,1,45 - 54 Years,<12 Years,Above Poverty,Female
921,0,1,1,1,4,1,35 - 44 Years,College Graduate,Below Poverty,Male
922,2,2,1,1,5,4,18 - 34 Years,College Graduate,Middle,Male
923,0,1,1,0,3,3,65+ Years,12 Years,Below Poverty,Male
924,2,0,0,1,2,3,18 - 34 Years,12 Years,Above Poverty,Female
925,0,1,0,0,4,2,45 - 54 Years,College Graduate,Below Poverty,Female
926,2,0,1,0,1,1,65+ Years,College Graduate,Above Poverty,Male
927,0,2,1,1,2,4,55 - 64 Years,Some College,Above Poverty,Female
928,3,2,1,0,1,1,35 - 44 Years,12 Years,Below Poverty,Female
929,1,0,0,0,2,5,45 - 54 Years,12 Years,Below Poverty,Female
930,0,2,0,0,2,1,45 - 54 Years,<12 Years,Middle,Female
931,2,1,1,0,5,1,35 - 44 Years,Some College,Above Poverty,Female
932,3,0,0,1,4,3,35 - 44 Years,College Graduate,Middle,Male
933,0,2,0,1,4,4,55 - 64 Years,Some College,Below Poverty,Male
934,0,0,1,1,2,1,45 - 54 Years,College Graduate,Above Poverty,Male
935,3,1,0,1,3,3,45 - 54 Years,College Graduate,Middle,Female
936,0,1,0,1,3,2,18 - 34 Years,Some College,Middle,Female
937,1,2,1,1,1,3,65+ Years,12 Years,Middle,Female
938,0,1,0,1,1,3,65+ Years,College Graduate,Below Poverty,Female
939,1,0,0,1,5,3,18 - 34 Years,Some College,Below Poverty,Male
940,1,1,1,1,2,1,65+ Years,<12 Years,Below Poverty,Male
941,3,0,0,1,1,1,35 - 44 Years,Some College,Above Poverty,Male
942,0,0,0,0,1,2,65+ Years,<12 Years,Below Poverty,Male
943,3,1,1,1,2,5,65+ Years,College Graduate,Above Poverty,Male
944,0,2,1,0,5,5,18 - 34 Years,Some College,Middle,Male
945,0,1,1,0,1,5,55 - 64 Years,Some College,Middle,Female
946,2,0,0,0,5,2,65+ Years,<12 Years,Below Poverty,Female
947,0,0,1,0,4,5,65+ Years,Some College,Middle,Male
948,3,1,0,1,5,5,55 - 64 Years,Some College,Below Poverty,Female
949,1,2,1,0,3,3,18 - 34 Years,College Graduate,Above Poverty,Male
950,0,2,0,1,3,1,55 - 64 Years,Some College,Middle,Male
951,2,0,1,1,5,1,18 - 34 Years,12 Years,Below Poverty,Female
952,3,0,1,0,3,3,35 - 44 Years,<12 Years,Middle,Male
953,0,2,1,1,4,3,18 - 34 Years,Some College,Middle,Male
954,3,1,1,0,2,3,35 - 44 Years,<12 Years,Below Poverty,Male
955,2,0,0,0,3,1,35 - 44 Years,<12 Years,Middle,Female
956,2,0,1,1,3,5,18 - 34 Years,<12 Years,Middle,Female
957,3,2,1,1,5,3,45 - 54 Years,Some College,Middle,Female
958,0,1,0,0,4,2,18 - 34 Years,Some College,Middle,Female
959,1,2,1,1,2,3,65+ Years,<12 Years,Above Poverty,Male
960,2,1,0,1,5,4,65+ Years,12 Years,Middle,Female
961,0,1,1,1,5,3,45 - 54 Years,<12 Years,Middle,Female
962,0,1,1,0,4,1,35 - 44 Years,12 Years,Below Poverty,Female
963,1,0,1,0,2,3,45 - 54 Years,<12 Years,Above Poverty,Male
964,2,2,0,1,4,4,65+ Years,College Graduate,Below Poverty,Female
965,2,2,1,1,2,2,45 - 54 Years,<12 Years,Below Poverty,Female
966,0,1,1,1,4,5,18 - 34 Years,<12 Years,Below Poverty,Male
967,0,0,1,1,5,3,45 - 54 Years,Some College,Above Poverty,Male
968,1,0,0,1,5,4,35 - 44 Years,12 Years,Below Poverty,Male
969,1,2,0,0,1,4,18 - 34 Years,College Graduate,Below Poverty,Male
970,2,0,1,1,3,2,55 - 64 Years,12 Years,Below Poverty,Female
971,3,0,0,0,4,1,65+ Years,College Graduate,Middle,Male
972,2,1,1,1,1,3,65+ Years,<12 Years,Below Poverty,Female
973,0,0,1,0,3,4,45 - 54 Years,Some College,Above Poverty,Female
974,2,1,1,1,4,2,18 - 34 Years,Some College,Above Poverty,Female
975,3,2,1,0,2,5,55 - 64 Years,12 Years,Middle,Female
976,1,0,1,1,3,4,18 - 34 Years,Some College,Above Poverty,Female
977,3,2,1,0,5,2,65+ Years,12 Years,Above Poverty,Male
978,3,2,1,0,1,1,18 - 34 Years,12 Years,Middle,Female
979,3,0,0,0,3,1,55 - 64 Years,College Graduate,Below Poverty,Female
980,1,0,0,0,3,4,45 - 54 Years,12 Years,Middle,Female
981,3,2,0,0,5,4,35 - 44 Years,College Graduate,Below Poverty,Male
982,3,0,0,0,4,3,18 - 34 Years,Some College,Below Poverty,Female
983,3,1,0,1,2,2,35 - 44 Years,12 Years,Above Poverty,Female
984,0,1,0,0,5,4,65+ Years,12 Years,Middle,Male
985,3,0,0,1,2,3,45 - 54 Years,<12 Years,Above Poverty,Female
986,1,2,1,1,4,3,45 - 54 Years,12 Years,Above Poverty,Female
987,3,0,1,1,3,4,18 - 34 Years,12 Years,Below Poverty,Male
988,3,0,1,1,2,1,45 - 54 Years,<12 Years,Above Poverty,Female
989,1,2,1,1,1,2,18 - 34 Years,<12 Years,Middle,Female
990,3,2,0,0,1,2,18 - 34 Years,Some College,Above Poverty,Female
991,1,1,0,0,5,1,35 - 44 Years,12 Years,Above Poverty,Female
992,3,2,1,0,4,4,45 - 54 Years,Some College,Below Poverty,Female
993,1,1,1,1,5,2,18 - 34 Years,Some College,Middle,Male
994,3,2,0,0,5,4,35 - 44 Years,<12 Years,Above Poverty,Male
995,3,0,1,0,5,4,55 - 64 Years,College Graduate,Below Poverty,Male
996,0,1,1,0,1,3,35 - 44 Years,Some College,Above Poverty,Female
997,0,1,1,0,1,1,35 - 44 Years,College Graduate,Middle,Female
998,3,1,1,0,5,4,18 - 34 Years,12 Years,Above Poverty,Female
999,3,0,0,1,1,5,65+ Years,<12 Years,Above Poverty,Male
1000,2,0,1,0,4,1,65+ Years,12 Years,Below Poverty,Female
